Date: ,25-Mar-25,,,,,,,,,,,,,,,,,,,,,,,
Type of material:,Whole Yellow Pea,,,,,,,,,,,,,,,,,,,,,,,
Sample/treatment code:,Run#2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Quantity:,Infeed (kg),Outfeed (kg),,,,,,,,,,,,,,,,,,,,,,
,,Section A,Section 1 to 5,Section B,Total,Section A+B,59.5,,,,,,,,,,,,,,,,,
,90,31.5,27.5,28.0,87.0,,,,,,,,,,,,,,,,,,,
,,,22.7,,,,,,,,,,,,,,,,,,,,,
Setting Parameter,Feeder gap (mm),Conveyor speed (m/min),,,,,,,,,,,,,,,,,,,,,,
,35,0.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Starting material temperature ('C) at the hopper,Rep 1,Rep 2,Rep 3 ,Average,,,,,,,,,,,,,,,,,,,,
,17.1,17.1,16.8,17.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Start time,14:20:28,,,,,,,,,,,,,,,,,,,,,,,
End time,15:07:26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data collection,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,AS,1,2,3,4,5,BS,BE,,,,,,,,,,,,,,,,
Time at the outfeed (end of the belt),14:44:04,14:51:46,14:53:16,14:54:49,14:56:21,14:57:53,14:59:24,15:07:01,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Temperature strip ('C),NA,77,77,82,77,82,NA,NA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NIR-Whole pea,,,,,,,,,,,,,,,,,,,,,,,,
Sample Id,Product Name,Predicted Moisture,Predicted Methionine As is,Predicted Cysteine As is,Predicted Total phenolics As is,Predicted Total saponins As is,Predicted Protein Dry basis,Predicted Ash Dry basis,Predicted Fat Dry basis,,,,,,,,,,,,,,,
Raw Run 2A,Peas_Whole,11.2,15.32,18.63,1.67,1.34,22.57,3.57,2.06,,,,,,,,,,,,,,,
Raw Run 2B,Peas_Whole,12.49,15.21,17.58,1.74,1.53,21.94,3.59,1.9,,,,,,,,,,,,,,,
Raw Run 2C,Peas_Whole,11.73,15.17,17.69,1.75,1.47,21.83,3.49,2.06,,,,,,,,,,,,,,,
Run 2-1A,Peas_Whole,10.44,15.01,19.77,1.4,1.63,21.15,3.26,1.92,,,,,,,,,,,,,,,
Run 2-1B,Peas_Whole,10.16,14.47,19.77,1.46,1.65,20.59,3.21,2.01,,,,,,,,,,,,,,,
Run 2-1C,Peas_Whole,9.93,15.13,19.56,1.49,1.58,20.85,3.18,1.69,,,,,,,,,,,,,,,
Run 2-2A,Peas_Whole,10.48,15.1,18.89,1.56,1.81,20.44,3.23,1.77,,,,,,,,,,,,,,,
Run 2-2B,Peas_Whole,10.54,14.17,19.32,1.5,1.78,21.06,3.3,1.94,,,,,,,,,,,,,,,
Run 2-2C,Peas_Whole,10.34,15.19,19.83,1.45,1.75,21.79,3.18,1.77,,,,,,,,,,,,,,,
Run 2-3A,Peas_Whole,10.42,15,20.02,1.44,1.62,21.43,3.16,1.74,,,,,,,,,,,,,,,
Run 2-3B,Peas_Whole,10.66,14.51,19.92,1.43,1.59,21.36,3.24,1.9,,,,,,,,,,,,,,,
Run 2-3C,Peas_Whole,10.5,15.26,19.43,1.48,1.8,21.84,3.22,1.73,,,,,,,,,,,,,,,
Run 2-4A,Peas_Whole,10.86,15.18,19.81,1.43,1.83,21.39,3.25,1.76,,,,,,,,,,,,,,,
Run 2-4B,Peas_Whole,10.79,15.45,19.7,1.45,1.73,22.08,3.28,1.54,,,,,,,,,,,,,,,
Run 2-4C,Peas_Whole,10.56,15.41,19.13,1.53,1.93,21.36,3.26,1.53,,,,,,,,,,,,,,,
Run 2-5A,Peas_Whole,10.93,14.39,19.42,1.42,1.57,20.99,3.35,1.76,,,,,,,,,,,,,,,
Run 2-5B,Peas_Whole,10.61,15.21,19.77,1.47,1.78,21.22,3.27,1.66,,,,,,,,,,,,,,,
Run 2-5C,Peas_Whole,10.68,15.05,19.82,1.47,1.85,21.77,3.29,1.7,,,,,,,,,,,,,,,
,,10.52666667,14.96866667,19.61066667,1.465333333,1.726666667,21.288,3.245333333,1.761333333,,,,,,,,,,,,,,,
NIR-Pea flour,,,,,,,,,,,,,,,,,,,,,,,,
Sample Id,Product Name,Predicted Protein As is,Predicted Starch As is,Predicted Fat As is,Predicted Ash As is,Predicted Histidine As is,Predicted Serine As is,Predicted Arginine As is,Predicted Moisture,Predicted Glycine As is,Predicted Aspartic acid As is,Predicted Methionine As is,Predicted Cysteine As is,Predicted Glutamic acid As is,Predicted Threonine As is,Predicted Alanine As is,Predicted Proline As is,Predicted Tyrosine As is,Predicted Valine As is,Predicted Isoleucine As is,Predicted Leucine As is,Predicted Phenylalanine As is,Predicted Tryptophan As is,Predicted Lysine As is
Raw Run 2A,A_Peas Ground,20.44,49.32,1.97,0.31,0.54,1.13,1.98,12.31,1.09,3.03,0.27,0.34,4.25,0.97,1.02,1.03,0.82,0.94,0.91,1.78,1.16,0.23,1.91
Raw Run 2B,A_Peas Ground,20.34,49.11,2.03,0.35,0.54,1.17,2,12.48,1.09,3.05,0.27,0.35,4.29,0.98,1.03,1.03,0.83,0.95,0.91,1.79,1.16,0.23,1.92
Raw Run 2C,A_Peas Ground,20.51,49.18,2.02,0.35,0.54,1.17,1.99,12.5,1.09,3.04,0.27,0.35,4.29,0.97,1.03,1.03,0.83,0.95,0.91,1.78,1.16,0.23,1.92
Run 2A,A_Peas Ground,21.2,50.1,1.78,0.18,0.55,1.18,2.04,11.96,1.13,3.11,0.29,0.37,4.43,1.01,1.08,1.04,0.85,0.98,0.93,1.85,1.19,0.23,1.97
Run 2B,A_Peas Ground,21.37,50.02,1.7,0.26,0.55,1.18,2.02,11.69,1.12,3.09,0.29,0.37,4.45,1.01,1.08,1.05,0.85,0.98,0.92,1.84,1.19,0.24,1.96
Run 2C,A_Peas Ground,21.52,50.16,1.74,0.23,0.55,1.08,2.05,11.66,1.13,3.1,0.28,0.37,4.48,1,1.07,1.06,0.87,0.97,0.92,1.84,1.21,0.24,1.96
