Date,Time,Ia,Ig,Ia 2nd Limit,Ia 1st Limit,Conv_Speed,Product_Temp,Electrode_Set,Electrode_Act
25/03/2025,14:20:28,0.21,0.69,1.7,1.5,0.2,27,75,106.8
25/03/2025,14:20:33,0.28,0.7,1.7,1.5,0.2,27,75,85.6
25/03/2025,14:20:38,0.27,0.64,1.7,1.5,0.2,28,75,75.1
25/03/2025,14:20:43,0.27,0.64,1.7,1.5,0.2,28,75,75.1
25/03/2025,14:20:48,0.27,0.64,1.7,1.5,0.2,29,75,75.1
25/03/2025,14:20:53,0.28,0.65,1.7,1.5,0.2,29,75,75.1
25/03/2025,14:20:58,0.27,0.64,1.7,1.5,0.2,29,75,75.1
25/03/2025,14:21:03,0.28,0.65,1.7,1.5,0.2,30,75,75.1
25/03/2025,14:21:08,0.27,0.65,1.7,1.5,0.2,30,75,75.1
25/03/2025,14:21:13,0.28,0.65,1.7,1.5,0.2,30,75,75.1
25/03/2025,14:21:18,0.29,0.65,1.7,1.5,0.2,31,75,75.1
25/03/2025,14:21:23,0.28,0.65,1.7,1.5,0.2,31,75,75.1
25/03/2025,14:21:28,0.28,0.65,1.7,1.5,0.2,31,75,75.1
25/03/2025,14:21:33,0.28,0.65,1.7,1.5,0.2,32,75,75.1
25/03/2025,14:21:38,0.28,0.65,1.7,1.5,0.2,32,75,75.1
25/03/2025,14:21:43,0.28,0.65,1.7,1.5,0.2,32,75,75.1
25/03/2025,14:21:48,0.28,0.65,1.7,1.5,0.2,32,75,75.1
25/03/2025,14:21:53,0.28,0.65,1.7,1.5,0.2,32,75,75.1
25/03/2025,14:21:58,0.29,0.65,1.7,1.5,0.2,32,75,75.1
25/03/2025,14:22:03,0.28,0.65,1.7,1.5,0.2,32,75,75.1
25/03/2025,14:22:08,0.29,0.65,1.7,1.5,0.2,33,75,75.1
25/03/2025,14:22:13,0.29,0.65,1.7,1.5,0.2,33,75,75.1
25/03/2025,14:22:18,0.28,0.65,1.7,1.5,0.2,33,75,75.1
25/03/2025,14:22:23,0.29,0.65,1.7,1.5,0.2,33,75,75.1
25/03/2025,14:22:28,0.29,0.65,1.7,1.5,0.2,34,75,75.1
25/03/2025,14:22:33,0.29,0.65,1.7,1.5,0.2,33,75,75.1
25/03/2025,14:22:38,0.29,0.65,1.7,1.5,0.2,34,75,75.1
